HFACS
Sbe
Per
Pe
Sbe
Pp
Sbe
"Te, Sbe"
De
De
"Te, Sbe"
Per
"Pe, Hbo"
Per
Sbe
"Te, Sbe"
Per
Sbe
Sbe
Hbo
Rm
Te
Rm
"Sbe, Per"
Sbe
Per
Hbo
Sbe
Hbo
Hbo
"De, Per"
Per
"Te, Sbe"
"Te, Per"
Rm
Hbo
Per
Sbe
"Te, Sbe"
"Te, Sbe"
Hbo
 Per
Hbo
Rm
Per
Per
Te
Per
Rm
Per
Sbe
Per
Hbo
Hbo
"Te, Per"
Pp
"Te, Sbe"
Per
Per
Pio
Hbo
Pe
Per
"Is, Te, Hbo"
Per
Sbe
"Pe, Per"
Per
Per
Te
Sbe
"Rm, Hbo"
Per
"Te, Per"
Te
De
Per
"Is, Te"
Sbe
Hbo
Per
Hbo
Per
Rm
"Sbe, Per"
"Rm, Hbo"
Sbe
Per
Hbo
Hbo
Sbe
"Te, Sbe"
Te
Per
"De, Rv"
Sbe
Te
Rm
Sbe
Rm
Per
"Te, Sbe"
Per
Hbo
"Rm, Hbo"
Hbo
"De, Rv"
Per
Te
Per
Per
Per
Hbo
"Te, De, Per"
Per
"Rm, Sbe"
Sbe
Per
De
"PR, Per"
"Pe, Hbo"
Per
Sbe
"Hbo, Pr"
Per
Rm
Pp
Sbe
Sbe
Sbe
Sbe
Per
Per
Hbo
Per
Per
Per
Per
Per
Per
Per
"Te, Sbe"
"Te, Sbe"
Sbe
Per
Pe
Sbe
Pp
Rm
hbo
Per
Hbo
PR
Per
Te
Sbe
Per
Hbo
"Te, Sbe"
"Te, Sbe"
Hbo
Per
"Te, Sbe"
Sbe
"Pe, Hbo"
"Te, Sbe"
Sbe
Per
Sbe
Per
Per
"Te, Hbo"
Sbe
Hbo
Te
Per
Pe
Te
Pio
Sbe
Hbo
Sbe
Sbe
Hbo
"Sbe, Per"
Hbo
Per
"Te, Sbe"
"Te, Sbe"
Sbe
Sbe
Per
Per
De
Sbe
"Fcp, Te"
Per
Hbo
Per
Per
Sbe
Hbo
Sbe
Te
Pe
Hbo
Te
Per
"Te, Hbo"
Per
De
Hbo
"PR, Per"
Sbe
Per
Per
Pe
Sbe
Pe
Per
Per
Per
Per
Per
"Te, Per"
Per
"Sbe, Per"
Sbe
Per
Per
Hbo
Hbo
Per
Per
Per
"Te, Per"
Sbe
Te
Per
Hbo
Te
Per
Hbo
Te
Hbo
"Pio, Per"
Hbo
Rm
Per
Pp
Te
"Is, De"
Hbo
Per
Hbo
"Te, Sbe"
"Te, Per"
Hbo
Hbo
Sbe
Hbo
Per
Pe
Sbe
Per
Per
"Pio, Hbo"
Hbo
Te
Hbo
Pp
Per
Per
Hbo
Rm
Rm
Per
Pe
Per
Per
Per
"Te, Sbe, Per"
Sbe
Sbe
De
Rm
"Sbe, Per"
Sbe
Sbe
Per
Per
Sbe
Sbe
Hbo
Pp
Hbo
Per
"Pe, Hbo"
Pp
De
Hbo
Per
Sbe
Hbo
Rm
Per
Per
Per
Per
Te
Te
Sbe
Per
Per
Per
Sbe
Per
Sbe
Pp
Sbe
Pe
Hbo
Sbe
Te
Per
Per
Sbe
Per
Te
Te
"Te, De"
De
Per
Te
Per
Sbe
Pp
"Te, Sbe"
De
"Te, Sbe"
Per
Per
Per
Sbe
"Te, Sbe"
Per
Hbo
Per
Per
Rm
De
Sbe
Per
Sbe
Hbo
Rm
Sbe
Sbe
Hbo
Hbo
"Te, Sbe"
Per
"Te, Per"
Per
Rm
Per
Hbo
"Hbo, Crm"
Sbe
Sbe
Pp
Hbo
Hbo
"Te, Sbe"
Per
Rm
Per
Sbe
Sbe
"Pe, Hbo"
Te
Sbe
Per
Sbe
Hbo
Sbe
Sbe
Per
Sbe
Per
Per
Hbo
Sbe
"Te, Sbe"
De
Per
Per
Sbe
Per
Pp
Is
Sbe
Hbo
Te
Rm
Per
Per
Hbo
Hbo
Per
Te
Te
Per
Sbe
"Pr, Per"
Per
Per
Per
Per
"Te, Hbo, Sbe"
Per
Per
Per
Te
Te
"Pio, De"
Te
Sbe
Hbo
Per
Per
 Pp
"Rm, Is"
Te
Per
"Pp, Sbe"
Per
Per
Per
Sbe
Per
Te
Per
Te
Sbe
De
Te
Sbe
Hbo
"Rm, Hbo"
Te
Hbo
Pe
Pp
Pp
Sbe
Per
Hbo
Pe
Per
Te
Sbe
Sbe
Per
Sbe
Per
Per
Per
Te
Per
Pe
Per
Pe
Hbo
Rm
Pe
Per
Hbo
 Sbe
"Is, Per"
Sbe
"Te, Sbe"
Per
"Te, De"
"Te, Per"
"Te, Per"
"Sbe, Per"
Per
Rm
Sbe
De
Hbo
Per
Per
Sbe
Per
Sbe
"Te, Hbo"
Per
Sbe
Te
Sbe
Per
Per
Per
Te
"Te, Sbe"
Hbo
Sbe
"Pio, Te"
"Te, Per"
"Te, Hbo"
"Pe, Sbe"
Hbo
Per
Sbe
"Pp, De"
"Is, Te, Per"
Pp
"Te, Per"
Sbe
Is
Per
"Pe, Te"
Rv
Te
Per
Per
Per
Per
Hbo
Sbe
"Te, Sbe"
Per
Hbo
de
Rm
Per
Pp
Pe
"Fcp, Sbe"
Per
Per
Sbe
